Date,Open,High,Low,Close,Adj Close,Volume
2019-12-31,72.48,73.42,72.38,73.41,72.68,100805600
2020-01-02,74.06,75.15,73.8,75.09,74.33,135480400
2020-01-03,74.29,75.14,74.12,74.36,73.61,146322800
2020-01-06,73.45,74.99,73.19,74.95,74.2,118387200
2020-01-07,74.96,75.22,74.37,74.6,73.85,108872000
2020-01-08,74.29,76.11,74.29,75.8,75.04,132079200
2020-01-09,76.81,77.61,76.55,77.41,76.63,170108400
2020-01-10,77.65,78.17,77.06,77.58,76.8,140644800
2020-01-13,77.91,79.27,77.79,79.24,78.44,121532000
2020-01-14,79.18,79.39,78.04,78.17,77.39,161954400
2020-01-15,77.96,78.88,77.39,77.83,77.05,121923600
2020-01-16,78.4,78.93,78.02,78.81,78.02,108829200
2020-01-17,79.07,79.68,78.75,79.68,78.88,137816400
2020-01-21,79.3,79.75,79.0,79.14,78.35,110843200
2020-01-22,79.64,80.0,79.33,79.43,78.63,101832400
2020-01-23,79.48,79.89,78.91,79.81,79.01,104472000
2020-01-24,80.06,80.83,79.38,79.58,78.78,146537600
2020-01-27,77.51,77.94,76.22,77.24,76.46,161940000
2020-01-28,78.15,79.6,78.05,79.42,78.62,162234000
2020-01-29,81.11,81.96,80.35,81.08,80.27,216229200
2020-01-30,80.14,81.02,79.69,80.97,80.15,126743200
2020-01-31,80.23,80.67,77.07,77.38,76.6,199588400
2020-02-03,76.07,78.37,75.56,77.17,76.39,173985600
2020-02-04,78.83,79.91,78.41,79.71,78.91,136616400
2020-02-05,80.88,81.19,79.74,80.36,79.56,118826800
2020-02-06,80.64,81.31,80.07,81.3,80.49,105425600
2020-02-07,80.59,80.85,79.5,80.01,79.39,117684000
2020-02-10,78.54,80.39,78.46,80.39,79.77,109348800
2020-02-11,80.9,80.97,79.68,79.9,79.29,94323200
2020-02-12,80.37,81.81,80.37,81.8,81.17,113730400
2020-02-13,81.05,81.56,80.84,81.22,80.59,94747600
2020-02-14,81.18,81.5,80.71,81.24,80.61,80113600
2020-02-18,78.84,79.94,78.65,79.75,79.14,152531200
2020-02-19,80.0,81.14,80.0,80.9,80.28,93984000
2020-02-20,80.66,81.16,79.55,80.07,79.46,100566000
2020-02-21,79.65,80.11,77.62,78.26,77.66,129554000
2020-02-24,74.32,76.04,72.31,74.54,73.97,222195200
2020-02-25,75.24,75.63,71.53,72.02,71.47,230673600
2020-02-26,71.63,74.47,71.62,73.16,72.6,198054800
2020-02-27,70.28,71.5,68.24,68.38,67.85,320605600
2020-02-28,64.32,69.6,64.09,68.34,67.81,426884800
2020-03-02,70.57,75.36,69.43,74.7,74.13,341397200
2020-03-03,75.92,76.0,71.45,72.33,71.77,319475600
2020-03-04,74.11,75.85,73.28,75.68,75.1,219178400
2020-03-05,73.88,74.89,72.85,73.23,72.67,187572800
2020-03-06,70.5,72.71,70.31,72.26,71.7,226176800
2020-03-09,65.94,69.52,65.75,66.54,66.03,286744800
2020-03-10,69.29,71.61,67.34,71.33,70.79,285290000
2020-03-11,69.35,70.31,67.96,68.86,68.33,255598800
2020-03-12,63.99,67.5,62.0,62.06,61.58,418474000
2020-03-13,66.22,69.98,63.24,69.49,68.96,370732000
2020-03-16,60.49,64.77,60.0,60.55,60.09,322423600
2020-03-17,61.88,64.4,59.6,63.22,62.73,324056000
2020-03-18,59.94,62.5,59.28,61.67,61.19,300233600
2020-03-19,61.85,63.21,60.65,61.19,60.72,271857200
2020-03-20,61.79,62.96,57.0,57.31,56.87,401693200
2020-03-23,57.02,57.12,53.15,56.09,55.66,336752800
2020-03-24,59.09,61.92,58.58,61.72,61.25,287531200
2020-03-25,62.69,64.56,61.08,61.38,60.91,303602000
2020-03-26,61.63,64.67,61.59,64.61,64.11,252087200
2020-03-27,63.19,63.97,61.76,61.94,61.46,204216800
2020-03-30,62.69,63.88,62.35,63.7,63.21,167976400
2020-03-31,63.9,65.62,63.0,63.57,63.08,197002000
2020-04-01,61.62,62.18,59.78,60.23,59.76,176218400
2020-04-02,60.08,61.29,59.22,61.23,60.76,165934000
2020-04-03,60.7,61.42,59.74,60.35,59.89,129880000
2020-04-06,62.72,65.78,62.35,65.62,65.11,201820400
2020-04-07,67.7,67.93,64.75,64.86,64.36,202887200
