date,sh.600050,sh.600060,sh.600070,sh.601162
2020/1/2,6.04,11.41,9.67,7.28
2020/1/3,6.04,11.22,10.13,7.17
2020/1/6,6.02,11.09,10.25,7.1
2020/1/7,6.02,11.16,11.28,7.18
2020/1/8,5.92,10.92,11.9,6.88
2020/1/9,5.95,11.1,11.48,6.96
2020/1/10,5.91,10.98,11.85,6.94
2020/1/13,5.91,11.1,12.04,6.99
2020/1/14,6.18,11.07,11.6,6.9
2020/1/15,6.12,11.09,11.69,6.88
2020/1/16,6.02,11.61,12.29,6.88
2020/1/17,5.97,12.12,12.28,7.06
2020/1/20,6.06,12.99,12.81,6.9
2020/1/21,5.92,12.67,11.53,6.5
2020/1/22,5.88,12.65,11.35,6.58
2020/1/23,5.65,12.48,10.67,6.4
2020/2/3,5.09,11.23,9.6,5.76
2020/2/4,5.18,11.8,9.44,5.65
2020/2/5,5.21,12.74,9.73,5.7
2020/2/6,5.38,13.28,10.05,5.85
2020/2/7,5.35,13,10.23,6.11
2020/2/10,5.4,13.22,10.42,6.11
2020/2/11,5.38,13.71,10.17,5.98
2020/2/12,5.41,13.61,10.31,6.07
2020/2/13,5.36,13.12,10,6.16
2020/2/14,5.36,12.85,9.92,6.18
2020/2/17,5.54,13.12,10.67,6.42
2020/2/18,5.53,12.98,11.19,6.35
2020/2/19,5.49,12.69,11.2,6.25
2020/2/20,5.58,12.81,11.73,6.88
2020/2/21,5.63,12.33,12.16,6.98
2020/2/24,5.9,12.32,12.75,7.02
2020/2/25,5.8,12.04,12.3,7.18
2020/2/26,5.89,12.04,11.84,7.35
2020/2/27,5.75,12.97,11.96,7.18
2020/2/28,5.48,12.59,10.8,6.55
2020/3/2,5.7,12.87,11.59,6.91
2020/3/3,5.71,12.63,11.79,7.01
2020/3/4,5.68,13.45,11.88,7.25
2020/3/5,5.83,13.89,12.22,7.45
2020/3/6,5.72,13.66,11.73,7.06
2020/3/9,5.64,12.68,11.16,6.94
2020/3/10,5.77,13.17,11.52,7.15
2020/3/11,5.67,13.13,11.02,NaN
2020/3/12,5.57,12.63,10.82,NaN
2020/3/13,5.48,12.5,10.39,NaN
